,date,hour,tweet,linea,estacion
116,07/Nov/2019,22:04:03,"La persecución al trabajo de los vagoneros debe cesar.

Con ese fin, acompañamos a los compañeros vagoneros al @Congreso_CdMex para exhortar a través de @JTrianaT a la @SeGobCDMX @SSP_CDMX y al @MetroCDMX a realizar mesas de diálogo.

Su trabajo debe regularse, no criminalizarse. https://t.co/Efbz8oyibF",,
117,07/Nov/2019,22:04:50,@MetroCDMX hombres en el vagon de mujeres estacion chabacano tren M0513,linea8 ,chabacano chabacano 
118,07/Nov/2019,22:05:13,"@LeoFlores0730 @MetroCDMX Viene con retrasos,parando cómo 5 minutos o más en cada estación",5 ,
119,07/Nov/2019,22:06:04,"@MetroCDMX No sé Rick, parece falso",,
120,07/Nov/2019,22:06:07,"No bueno, el @GobCDMX pone  reglas para viajar medianamente seguras en el @MetroCDMX pero resulta que los mismos trabajadores de este las infringen.

Lo más chido, para justificar su falta, acusan a esta chica de viajar en estado de ebriedad. ¿No son geniales? 🤗😒",,
121,07/Nov/2019,22:06:52,@MetroCDMX y ¿cómo llegó ahí?,,
122,07/Nov/2019,22:07:47,@MetroCDMX vagón 1429 linea 7 con esa tapa abierta puede ocasionar un accidente https://t.co/Ntul1OnNDW,7 ,
123,07/Nov/2019,22:08:55,Usuarios de la estación San Joaquin del @MetroCDMX  solicitan  a las autoridades del @GobCDMX presencia permanente de elementos de @SSP_CDMX  ya que por las noches se han incrementado los asaltos a usuarios a la salida de dicha estación https://t.co/OnLbShPhnC,linea7 ,Joaquin 
124,07/Nov/2019,22:09:18,@MetroCDMX Haaaa pero cuando la rata está coludida con las autoridades no lo presumen verdad???,,
125,07/Nov/2019,22:09:45,"Por eso Carlos Hernández, que todos los días sale junto a su perrita guía, creó una petición a @MetroCDMX para que haya lugares apropiados para personas invidentes con perros guía en todo el #Metro.🚟
¡FIRMA y RT! Ayudemos a todas las personas invidentes.
https://t.co/tirgucceSz",,
